state,action,q_value
1|1|1|0,0,4.302149842022505
1|1|1|0,4,2.6933359772604724
1|1|1|0,6,2.647978992758436
1|1|1|0,2,2.7365882970183066
1|1|1|0,7,2.7539008021408433
1|1|1|0,5,2.5883170613779085
1|1|1|0,3,2.5781033209071573
0|2|1|3,5,2.6306936357177206
0|2|1|3,4,2.358345069092984
0|2|1|3,7,2.3077720279777942
0|2|1|3,3,3.8049972199265247
0|2|1|3,2,1.5763040862431161
0|2|1|3,6,1.772093376738071
0|2|1|3,1,2.148907313635132
5|2|1|3,4,2.0530443792036546
5|2|1|3,1,1.2750993658036665
5|2|1|3,3,3.9557598441610615
5|2|1|3,6,1.3539697984185906
5|2|1|3,0,1.6549853251297793
5|2|1|3,2,1.4434183823494209
5|2|1|3,7,1.6874831742152048
4|3|1|3,6,0.6053280510812886
4|3|1|3,1,0.8196303872685586
4|3|1|3,5,1.2835591962376212
4|3|1|3,7,1.0680408568000144
4|3|1|3,3,2.855997367703831
4|3|1|3,0,-0.06869660573620996
4|3|1|3,2,0.9468934859690521
6|3|1|3,3,2.8701694832323557
6|3|1|3,5,1.0526068528617223
6|3|1|3,2,0.11962353854094787
6|3|1|3,4,1.4007080651210386
6|3|1|3,1,0.7690124842364775
6|3|1|3,7,1.4567268294770288
6|3|1|3,0,0.20645679316378168
3|5|1|1,5,-0.17243255162179144
3|5|1|1,7,-0.2874265271997982
3|5|1|1,6,-0.5206735870505571
3|5|1|1,1,1.5206426725237496
3|5|1|1,4,-0.36099015806663937
3|5|1|1,2,-0.689614329530377
3|5|1|1,0,-0.561017458871863
5|5|1|1,7,0.2732342398649758
5|5|1|1,1,2.3308867004891343
5|5|1|1,3,-0.0025743657018170787
5|5|1|1,2,0.5889553259046073
5|5|1|1,0,-1.0190668779665275
5|5|1|1,6,0.7085459818866625
5|5|1|1,4,0.06536203028994228
0|1|2|2,1,2.907576115552663
0|1|2|2,3,3.231218837436585
0|1|2|2,4,3.240157851726331
0|1|2|2,7,3.2272052151529453
0|1|2|2,2,4.818602846716353
0|1|2|2,5,3.080259148116506
0|1|2|2,6,3.2440148321234115
1|1|2|2,3,3.260338907153369
1|1|2|2,7,3.120228254267356
1|1|2|2,2,4.997406553234672
1|1|2|2,0,2.9170834911191794
1|1|2|2,6,3.3501403594556187
1|1|2|2,4,3.1333074849204605
1|1|2|2,5,3.236444498058883
3|1|2|2,7,3.295021948223004
3|1|2|2,4,3.323905832323582
3|1|2|2,5,3.1238171740820437
3|1|2|2,1,2.8773286250748185
3|1|2|2,6,3.2252182075730422
3|1|2|2,0,2.92741435558285
3|1|2|2,2,4.723982579325665
7|1|2|2,3,3.460997769377749
7|1|2|2,5,3.4313482713441825
7|1|2|2,2,4.7464367261027345
7|1|2|2,1,2.8758037460406674
7|1|2|2,6,3.3847419457938486
7|1|2|2,0,2.70665188266971
7|1|2|2,4,3.2361898632878185
4|1|2|2,2,4.895023417317448
4|1|2|2,1,2.9249557612243424
4|1|2|2,5,3.3140561813625053
4|1|2|2,3,3.3617661841758033
4|1|2|2,7,3.1052713931310616
4|1|2|2,6,2.7333374451213177
4|1|2|2,0,2.9173828797820938
2|2|5|4,5,3.69109312123244
2|2|5|4,4,3.9189442573356783
2|2|5|4,1,2.272511454162209
2|2|5|4,6,3.2094037683923275
2|2|5|4,7,2.5593839686378654
2|2|5|4,3,1.7029546993469458
2|2|5|4,0,1.8977754661924586
5|1|1|0,3,2.8144230778639368
5|1|1|0,6,2.6405178830449128
5|1|1|0,7,2.8304855956471866
5|1|1|0,0,4.36513151827869
5|1|1|0,2,2.708277908948958
5|1|1|0,1,3.0453490409103137
5|1|1|0,4,2.80009857849091
3|4|1|1,2,0.5992747242839839
3|4|1|1,4,1.2701649485637538
3|4|1|1,5,1.4194979504635628
3|4|1|1,0,0.3181540932320212
3|4|1|1,1,2.879616828862969
3|4|1|1,6,2.0400977716113537
3|4|1|1,7,1.1530400615634975
2|4|1|1,3,1.2556029471422259
2|4|1|1,7,0.8865243376415661
2|4|1|1,5,1.0139978595232362
2|4|1|1,6,0.6500683900822853
2|4|1|1,4,1.1225468652459112
2|4|1|1,0,0.8270472480920715
2|4|1|1,1,2.7993215395781896
4|5|1|1,6,0.34040264177004775
4|5|1|1,5,0.7489352527637034
4|5|1|1,2,0.9908154352195281
