state,action,reward(average)
2|2|0|0|5,0,3.629766753054424
2|2|0|0|5,1,1.125
0|7|1|1|4,1,5.973913043478261
0|7|1|1|4,2,0.6206896551724138
1|8|2|2|3,0,0.0
1|8|2|2|3,2,11.0
0|8|2|2|2,1,0.0
0|8|2|2|2,2,11.0
1|8|2|2|1,2,11.0
1|8|2|2|1,0,0.0
0|1|1|1|5,1,3.3520861833105333
0|1|1|1|5,2,0.8
1|3|0|2|4,2,2.3158584534731324
1|3|0|2|4,0,2.2857142857142856
2|5|0|0|3,1,1.2568807339449541
2|5|0|0|3,0,3.0342034203420343
1|7|0|0|2,2,0.4444444444444444
1|7|0|0|2,0,5.653061224489796
2|7|0|0|1,0,8.125
2|1|1|0|5,1,2.63025758069775
2|1|1|0|5,0,1.588235294117647
1|4|2|2|4,0,1.0
1|4|2|2|4,2,3.219619326500732
0|6|2|2|3,1,0.6363636363636364
0|6|2|2|3,2,3.929384965831435
1|6|2|2|2,0,0.5
1|6|2|2|2,2,7.866666666666666
0|6|2|2|1,1,0.0
1|6|0|0|5,0,4.535483870967742
1|6|0|0|5,2,1.0
0|8|2|2|4,1,0.0
0|8|2|2|4,2,11.0
1|1|2|2|5,2,4.152638464893153
1|1|2|2|5,0,0.0
2|5|0|0|4,0,3.1382033563672262
2|5|0|0|4,1,1.2
0|8|1|1|3,2,0.0
0|8|1|1|3,1,11.0
2|8|1|1|2,1,11.0
2|8|1|1|2,0,0.0
1|1|0|0|5,2,0.8723404255319149
1|1|0|0|5,0,3.1684271451309507
2|2|0|1|4,1,2.5555555555555554
2|2|0|1|4,0,0.0
1|4|0|0|3,0,2.7125506072874495
1|4|0|0|3,2,1.0
0|7|2|2|2,1,0.0
0|7|2|2|2,2,12.0
1|7|2|2|1,0,0.0
1|7|2|2|1,2,12.0
0|1|1|2|5,2,2.535444947209653
0|1|1|2|5,1,0.0
2|3|1|0|4,0,2.0
2|3|1|0|4,1,2.7285714285714286
0|5|1|1|3,1,2.8931068931068933
0|5|1|1|3,2,1.2
1|8|2|2|2,2,11.0
1|8|2|2|2,0,0.0
2|1|1|1|5,1,4.005017367811655
2|1|1|1|5,0,0.0
1|5|0|0|4,0,2.7883970489604293
1|5|0|0|4,2,1.3529411764705883
0|8|2|2|3,1,0.0
0|8|2|2|3,2,11.0
2|3|0|0|5,1,0.6666666666666666
2|3|0|0|5,0,3.4092349479402446
1|4|0|0|4,0,2.87018544935806
1|4|0|0|4,2,1.3636363636363635
0|7|2|2|3,2,12.0
0|7|2|2|3,1,0.0
0|6|2|1|5,1,1.0
1|7|2|2|4,2,12.0
1|7|2|2|4,0,0.0
2|5|0|0|5,1,1.5714285714285714
2|5|0|0|5,0,3.28665568369028
1|7|0|0|4,2,0.38461538461538464
1|7|0|0|4,0,5.567820879979172
2|7|0|0|3,1,0.6206896551724138
2|7|0|0|3,0,5.264059245545012
0|1|0|1|5,1,1.7555049354593775
0|1|0|1|5,2,1.0303030303030303
1|2|0|2|4,0,2.0347551342812005
1|2|0|2|4,2,2.0
2|4|0|1|5,1,2.0
2|4|0|1|5,0,1.9953271028037383
1|6|0|0|4,0,4.104923599320883
1|6|0|0|4,2,0.5384615384615384
1|4|2|2|5,2,3.912855910267472
1|4|2|2|5,0,1.0
2|8|0|0|4,0,11.0
2|8|0|0|4,1,0.0
0|4|1|1|5,1,3.509421265141319
0|4|1|1|5,2,0.8571428571428571
0|7|1|1|3,1,5.520121334681496
0|7|1|1|3,2,0.5
2|1|1|1|4,1,4.642857142857143
1|6|0|0|3,2,0.5714285714285714
1|6|0|0|3,0,3.3543833580980684
2|6|0|0|2,1,0.0
2|6|0|0|2,0,5.300884955752212
1|6|0|0|1,0,11.821428571428571
1|6|0|0|1,2,0.0
2|4|0|0|5,0,3.2895871842267406
2|4|0|0|5,1,1.0
2|6|0|0|5,1,0.7307692307692307
2|6|0|0|5,0,4.436619718309859
0|1|2|1|5,2,2.881403791851553
0|1|2|1|5,1,1.6428571428571428
2|3|0|0|4,0,3.1115214180206796
2|3|0|0|4,1,1.0909090909090908
1|7|2|2|2,2,12.0
1|7|2|2|2,0,0.0
2|2|1|1|5,1,3.797576301615799
2|2|1|1|5,0,0.75
2|6|0|0|3,0,4.500249376558603
2|6|0|0|3,1,0.7857142857142857
0|8|1|1|2,2,0.0
0|8|1|1|2,1,11.0
2|8|1|1|1,0,0.0
2|8|1|1|1,1,11.0
0|6|1|1|4,1,5.167522831050229
0|6|1|1|4,2,0.5909090909090909
1|1|0|2|5,0,0.0
1|1|0|2|5,2,2.4461538461538463
0|1|0|2|4,2,2.3333333333333335
0|1|0|2|4,1,0.0
2|4|0|0|3,1,1.464985994397759
2|4|0|0|3,0,2.6
1|5|0|0|2,0,5.182509505703422
1|5|0|0|2,2,1.0
2|1|0|0|4,0,3.4705882352941178
2|1|0|0|4,1,0.0
0|3|0|1|3,1,2.090909090909091
2|6|0|0|1,1,0.0
2|6|0|0|1,0,1.9454545454545455
1|3|2|2|5,2,3.7297116029510398
1|3|2|2|5,0,0.5714285714285714
2|7|0|0|4,1,0.5652173913043478
2|7|0|0|4,0,5.4659713168187745
1|7|0|0|3,2,0.6896551724137931
1|7|0|0|3,0,4.481844242713808
2|7|0|0|2,1,0.5333333333333333
2|7|0|0|2,0,5.510560815731973
1|7|0|0|1,0,7.5476190476190474
1|7|0|0|1,2,0.0
1|3|0|0|5,0,3.4653061224489794
1|3|0|0|5,2,1.3571428571428572
0|5|2|2|4,1,0.5714285714285714
0|5|2|2|4,2,3.6639839034205233
1|5|2|2|3,2,3.9693654266958425
1|5|2|2|3,0,0.7142857142857143
2|8|0|0|2,0,11.0
2|8|0|0|2,1,0.0
0|1|1|1|4,2,0.0
0|1|1|1|4,1,3.5714285714285716
2|1|1|1|3,0,0.0
0|1|1|1|2,2,0.0
0|1|1|1|2,1,4.5
2|1|1|1|1,0,0.0
0|4|2|2|4,1,0.9444444444444444
0|4|2|2|4,2,3.3527934714375394
1|4|2|2|3,2,3.88728323699422
1|4|2|2|3,0,0.5
2|7|1|1|2,1,12.0
2|7|1|1|2,0,0.0
0|7|1|1|5,2,0.6973684210526315
0|7|1|1|5,1,4.46067415730337
2|8|1|1|4,0,0.0
2|8|1|1|4,1,11.0
0|2|1|1|4,1,3.192926045016077
0|2|1|1|4,2,0.75
1|5|0|0|3,2,1.6666666666666667
1|5|0|0|3,0,2.9
2|1|2|1|4,1,2.299651567944251
2|1|2|1|4,0,0.0
1|3|2|2|3,2,4.219123505976095
1|3|2|2|3,0,0.3333333333333333
0|8|1|1|1,1,11.0
0|8|1|1|1,2,0.0
1|5|0|2|1,0,2.0
1|5|2|2|5,0,0.6666666666666666
1|5|2|2|5,2,4.498044328552803
0|6|2|2|4,2,4.659295352323838
0|6|2|2|4,1,0.625
0|4|1|1|4,1,2.888442659526997
0|4|1|1|4,2,1.25
1|6|2|2|3,0,0.5833333333333334
1|6|2|2|3,2,3.351618211738892
2|2|1|0|5,0,2.1777777777777776
2|2|1|0|5,1,2.5523114355231145
1|7|2|2|3,0,0.0
1|7|2|2|3,2,12.0
