state,action,reward(average)
1|1|1|0,0,1.0396039603960396
1|1|1|0,3,0.0
1|1|1|0,7,0.0
0|2|1|3,5,0.0
0|2|1|3,2,0.0
0|2|1|3,7,0.0
0|2|1|3,1,0.31693989071038253
5|2|1|3,4,0.3950617283950617
4|3|1|3,6,0.0
4|3|1|3,2,0.0
4|3|1|3,7,0.0
4|3|1|3,3,1.507936507936508
6|3|1|3,3,1.5142857142857142
6|3|1|3,4,0.0
6|3|1|3,1,0.0
3|5|1|1,5,0.25
3|5|1|1,6,0.4092769440654843
3|5|1|1,2,0.38461538461538464
3|5|1|1,0,0.0
3|5|1|1,4,0.0
3|5|1|1,1,1.302325581395349
5|5|1|1,7,0.0
5|5|1|1,4,0.0
5|5|1|1,3,0.3333333333333333
5|5|1|1,6,0.16666666666666666
5|5|1|1,1,1.311307901907357
5|5|1|1,0,0.0
5|5|1|1,2,0.0
0|1|2|2,1,0.0
0|1|2|2,7,0.1937984496124031
0|1|2|2,4,0.0
0|1|2|2,5,0.23017902813299232
0|1|2|2,6,0.0
0|1|2|2,2,1.894259818731118
1|1|2|2,3,0.0
1|1|2|2,6,0.0
1|1|2|2,0,0.0
1|1|2|2,4,0.18937644341801385
1|1|2|2,7,0.0
1|1|2|2,2,1.803191489361702
3|1|2|2,7,0.0
3|1|2|2,4,0.16666666666666666
3|1|2|2,6,0.2324561403508772
3|1|2|2,1,0.0
7|1|2|2,3,0.0
7|1|2|2,5,0.0
7|1|2|2,2,1.8462455303933254
7|1|2|2,1,0.0
7|1|2|2,0,0.0
7|1|2|2,6,0.0
4|1|2|2,2,1.8460764587525151
4|1|2|2,7,0.5
4|1|2|2,1,0.0
4|1|2|2,6,0.0
4|1|2|2,0,0.0
4|1|2|2,5,1.5
2|2|5|4,5,1.5104895104895104
2|2|5|4,1,0.0
2|2|5|4,0,0.0
5|1|1|0,3,0.1540983606557377
5|1|1|0,7,0.0
5|1|1|0,2,0.0
5|1|1|0,1,0.0
3|4|1|1,2,0.16666666666666666
3|4|1|1,5,0.5
3|4|1|1,1,1.5506493506493506
3|4|1|1,0,0.2
3|4|1|1,7,0.6666666666666666
3|4|1|1,6,1.0
2|4|1|1,3,0.0
2|4|1|1,6,0.5
2|4|1|1,7,0.3387096774193548
2|4|1|1,4,0.36363636363636365
2|4|1|1,0,0.0
2|4|1|1,1,1.4549295774647888
2|4|1|1,5,0.0
6|4|1|1,4,0.6666666666666666
6|4|1|1,3,0.0
6|4|1|1,1,1.5919395465994963
6|4|1|1,0,0.0
6|4|1|1,7,1.0
6|4|1|1,2,0.0
4|5|1|1,5,0.4666666666666667
4|5|1|1,0,0.5
4|5|1|1,6,0.4600389863547758
4|5|1|1,2,0.3125
4|5|1|1,3,0.46511627906976744
4|5|1|1,1,1.2727272727272727
4|5|1|1,7,1.0
3|1|3|2,7,0.0
3|1|3|2,6,0.0
3|1|3|2,4,0.0
3|1|3|2,2,1.0675675675675675
3|1|3|2,5,1.0
7|1|3|2,2,1.096969696969697
7|1|3|2,0,0.0
7|1|3|2,3,0.0
7|1|3|2,1,0.0
2|2|3|4,5,0.0
2|2|3|4,4,1.600896860986547
5|2|3|4,2,0.0
5|2|3|4,7,0.0
5|2|3|4,6,0.0
5|2|3|4,4,1.8909090909090909
5|2|3|4,0,0.0
4|3|3|0,6,0.43333333333333335
4|3|3|0,1,0.3333333333333333
6|4|3|0,2,0.0
6|4|3|0,3,1.4305555555555556
6|4|3|0,7,0.5
6|4|3|0,1,0.0
6|4|3|0,5,1.0
2|1|3|3,0,0.0
2|1|3|3,7,0.0
2|1|3|3,6,0.3333333333333333
2|1|3|3,5,1.0
2|1|3|3,3,1.9186602870813396
2|1|3|3,4,0.0
2|1|3|3,1,0.0
0|1|3|3,2,0.0
0|1|3|3,6,0.34782608695652173
0|1|3|3,5,0.23809523809523808
0|1|3|3,3,1.893238434163701
0|1|3|3,7,0.3333333333333333
7|1|3|3,4,0.0
7|1|3|3,0,0.0
7|1|3|3,5,0.0
7|1|3|3,1,0.0
7|1|3|3,3,1.9481022463206816
7|1|3|3,2,0.0
7|1|3|3,6,0.0
4|1|3|3,3,1.8568548387096775
4|1|3|3,1,0.0
